Gene;Cell Line;Experimental Condition;CT Value
RPLP1;Eahy.926;72h HX;20,496
RPLP1;Eahy.926;72h HX;20,688
RPLP1;Eahy.926;72h HX;20,863
RPLP1;Eahy.926;72h HX;20,217
RPLP1;Eahy.926;72h HX;20,319
SDHA;Eahy.926;24h NX;24,038
SDHA;Eahy.926;24h NX;24,152
SDHA;Eahy.926;24h NX;23,933
SDHA;Eahy.926;24h NX;23,964
SDHA;Eahy.926;24h NX;24,09
SDHA;Eahy.926;24h NX;24,137
SDHA;Eahy.926;24h HX;25,077
SDHA;Eahy.926;24h HX;24,261
SDHA;Eahy.926;24h HX;24,939
SDHA;Eahy.926;24h HX;23,979
SDHA;Eahy.926;24h HX;24,166
SDHA;Eahy.926;24h HX;23,745
SDHA;Eahy.926;72h HX;25,217
SDHA;Eahy.926;72h HX;24,65
SDHA;Eahy.926;72h HX;24,657
SDHA;Eahy.926;72h HX;25,699
SDHA;Eahy.926;72h HX;25,16
SDHA;Eahy.926;72h HX;24,776
TBP;Eahy.926;24h NX;25,512
TBP;Eahy.926;24h NX;25,697
TBP;Eahy.926;24h NX;25,653
TBP;Eahy.926;24h NX;25,996
TBP;Eahy.926;24h NX;25,463
TBP;Eahy.926;24h NX;25,911
TBP;Eahy.926;24h HX;26,232
TBP;Eahy.926;24h HX;25,917
TBP;Eahy.926;24h HX;26,18
TBP;Eahy.926;24h HX;25,86
TBP;Eahy.926;24h HX;26,188
TBP;Eahy.926;24h HX;25,806
TBP;Eahy.926;72h HX;25,866
TBP;Eahy.926;72h HX;25,533
TBP;Eahy.926;72h HX;25,688
TBP;Eahy.926;72h HX;27,142
TBP;Eahy.926;72h HX;26,341
TBP;Eahy.926;72h HX;25,836
